[dotenv@17.2.3] injecting env (3) from .env.local -- tip: ­ƒöÉ prevent committing .env to code: https://dotenvx.com/precommit
=== SUPABASE RECENT DATA FOR STEENVOORDE & CHAUNY ===
59580003 | 2026-03-03T13:00:00+00:00 | T:15.8 U:61 V:5
59580003 | 2026-03-03T12:00:00+00:00 | T:15 U:68 V:2
59580003 | 2026-03-03T11:54:00+00:00 | T:14.7 U:67 V:3
02173002 | 2026-03-03T11:00:00+00:00 | T:13.7 U:65 V:3
59580003 | 2026-03-03T11:00:00+00:00 | T:13.8 U:74 V:6
59580003 | 2026-03-03T10:00:00+00:00 | T:12.6 U:76 V:8
59580003 | 2026-03-03T09:00:00+00:00 | T:10.8 U:78 V:7
59580003 | 2026-03-03T08:00:00+00:00 | T:8.6 U:88 V:5
02173002 | 2026-03-03T07:00:00+00:00 | T:4.3 U:100 V:3
59580003 | 2026-03-03T07:00:00+00:00 | T:6.5 U:92 V:10

Records past 4 hours: 6
